"measurementscale","fallwinterspring","grade","RIT","student_percentile"
"Mathematics","Spring",6,244,90
"Mathematics","Spring",7,249,90
"Mathematics","Spring",8,255,90
"Mathematics","Spring",9,256,90
"Mathematics","Spring",10,260,90
"Mathematics","Spring",11,263,90
"Mathematics","Spring",12,261,90
"Mathematics","Spring",0,179,95
"Mathematics","Spring",1,199,95
"Mathematics","Spring",2,214,95
"Mathematics","Spring",3,227,95
"Mathematics","Spring",4,240,95
"Mathematics","Spring",5,246,95
"Mathematics","Spring",6,251,95
"Mathematics","Spring",7,256,95
"Mathematics","Spring",8,262,95
"Mathematics","Spring",9,263,95
"Mathematics","Spring",10,268,95
"Mathematics","Spring",11,271,95
"Mathematics","Spring",12,269,95
"Reading","Fall",0,123,5
"Reading","Fall",1,134,5
"Reading","Fall",2,142,5
"Reading","Fall",3,155,5
"Reading","Fall",4,166,5
"Reading","Fall",5,175,5
"Reading","Fall",6,181,5
"Reading","Fall",7,185,5
"Reading","Fall",8,188,5
"Reading","Fall",9,186,5
"Reading","Fall",10,188,5
"Reading","Fall",11,188,5
"Reading","Fall",12,187,5
"Reading","Fall",0,126,10
"Reading","Fall",1,139,10
"Reading","Fall",2,148,10
"Reading","Fall",3,161,10
"Reading","Fall",4,173,10
"Reading","Fall",5,181,10
"Reading","Fall",6,187,10
"Reading","Fall",7,191,10
"Reading","Fall",8,194,10
"Reading","Fall",9,193,10
"Reading","Fall",10,195,10
"Reading","Fall",11,195,10
"Reading","Fall",12,193,10
"Reading","Fall",0,128,15
"Reading","Fall",1,142,15
"Reading","Fall",2,152,15
"Reading","Fall",3,166,15
"Reading","Fall",4,177,15
"Reading","Fall",5,186,15
"Reading","Fall",6,191,15
"Reading","Fall",7,195,15
"Reading","Fall",8,198,15
"Reading","Fall",9,197,15
"Reading","Fall",10,199,15
"Reading","Fall",11,199,15
"Reading","Fall",12,198,15
"Reading","Fall",0,130,20
"Reading","Fall",1,145,20
"Reading","Fall",2,156,20
"Reading","Fall",3,169,20
"Reading","Fall",4,181,20
"Reading","Fall",5,189,20
"Reading","Fall",6,195,20
"Reading","Fall",7,198,20
"Reading","Fall",8,201,20
"Reading","Fall",9,201,20
"Reading","Fall",10,203,20
"Reading","Fall",11,203,20
"Reading","Fall",12,202,20
"Reading","Fall",0,132,25
